,city,Cloudiness,Country,Date,Humidity,Latitude,Longitude,MaxTemperature,Wind Speed
0,arraial do cabo,40.0,BR,1540659600,63.0,-22.97,-42.02,91.4,4.27
1,lompoc,1.0,US,1540659480,63.0,34.64,-120.46,68.0,2.93
2,hazorasp,90.0,UZ,1540659600,76.0,41.32,61.08,48.2,16.11
3,east london,20.0,ZA,1540659600,82.0,-33.02,27.91,68.0,11.41
4,havre-saint-pierre,20.0,CA,1540659600,50.0,50.23,-63.6,30.2,14.99
5,albany,90.0,US,1540659240,86.0,42.65,-73.75,41.0,11.41
6,hithadhoo,88.0,MV,1540661178,100.0,-0.6,73.08,79.76,14.23
7,kapaa,40.0,US,1540659360,78.0,22.08,-159.32,77.0,11.41
8,kavieng,56.0,PG,1540661155,100.0,-2.57,150.8,80.89,2.93
9,emba,75.0,CY,1540659600,53.0,34.81,32.42,71.6,3.36
10,uppsala,56.0,SE,1540659000,74.0,59.86,17.64,35.6,14.99
11,busselton,0.0,AU,1540661086,100.0,-33.64,115.35,58.66,14.67
12,yellowknife,90.0,CA,1540659600,92.0,62.45,-114.38,30.2,8.05
13,rikitea,8.0,PF,1540661031,100.0,-23.12,-134.97,73.24,13.67
14,shubarkuduk,64.0,KZ,1540661612,80.0,49.15,56.49,39.62,13.89
15,muscat,75.0,OM,1540659000,70.0,23.6,58.55,86.0,5.82
16,kaitangata,92.0,NZ,1540660921,98.0,-46.28,169.85,45.79,3.49
17,waltershausen,0.0,DE,1540660800,75.0,50.9,10.57,42.8,4.7
18,vaini,0.0,IN,1540660916,44.0,15.34,74.49,71.26,4.5
19,broken arrow,1.0,US,1540659300,43.0,36.05,-95.79,73.4,4.7
20,mataura,92.0,NZ,1540661125,97.0,-46.19,168.86,42.32,3.04
21,gillette,90.0,US,1540659180,81.0,44.29,-105.5,48.2,17.22
22,marawi,32.0,PH,1540661614,94.0,8.0,124.29,61.63,1.92
23,nerang,40.0,AU,1540659600,82.0,-27.99,153.34,68.0,5.82
24,jamestown,92.0,AU,1540660919,66.0,-33.21,138.6,56.27,3.38
25,ushuaia,40.0,AR,1540656000,61.0,-54.81,-68.31,48.2,27.51
26,faanui,88.0,PF,1540661148,100.0,-16.48,-151.75,76.25,6.06
27,ranau,24.0,MY,1540661614,100.0,5.95,116.67,67.25,1.92
28,san patricio,0.0,PY,1540661221,60.0,-26.98,-56.83,75.94,6.62
29,bluff,0.0,AU,1540661124,84.0,-23.58,149.07,67.43,4.61
30,chuy,44.0,UY,1540661123,90.0,-33.69,-53.46,66.26,15.68
31,cidreira,92.0,BR,1540661142,99.0,-30.17,-50.22,62.44,30.56
32,ribeira grande,20.0,PT,1540659600,60.0,38.52,-28.7,69.8,23.04
33,hamilton,90.0,BM,1540659300,65.0,32.3,-64.78,77.0,20.8
34,trofors,0.0,NO,1540659000,74.0,65.54,13.39,32.0,8.05
35,sao joao dos patos,8.0,BR,1540661616,37.0,-6.5,-43.7,96.23,4.16
36,samarai,88.0,PG,1540660989,100.0,-10.62,150.67,79.81,9.31
37,sudbury,75.0,CA,1540659600,59.0,46.49,-80.99,37.4,16.11
38,bredasdorp,0.0,ZA,1540659600,77.0,-34.53,20.04,68.0,13.87
39,hobart,75.0,AU,1540659600,49.0,-42.88,147.33,46.4,9.17
40,mahebourg,20.0,MU,1540659600,73.0,-20.41,57.7,71.6,3.36
41,sabha,0.0,LY,1540661616,63.0,27.03,14.43,66.76,4.72
42,ciro marina,20.0,IT,1540659000,82.0,39.37,17.13,68.0,20.8
43,hambantota,76.0,LK,1540661204,100.0,6.12,81.12,79.18,6.62
44,tuktoyaktuk,90.0,CA,1540659600,92.0,69.44,-133.03,28.4,9.17
45,kinablangan,44.0,PH,1540661617,100.0,7.69,126.55,82.06,10.65
